Precision 0.63, Recall 0.52, F1 0.57
Precision 0.64, Recall 0.51, F1 0.57
Precision 0.61, Recall 0.59, F1 0.60
Precision 0.62, Recall 0.37, F1 0.46
Precision 0.74, Recall 0.72, F1 0.73
Precision 0.71, Recall 0.67, F1 0.69
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.90, Recall 0.86, F1 0.88
Precision 0.43, Recall 0.34, F1 0.38
Precision 0.72, Recall 0.64, F1 0.68
Precision 0.50, Recall 0.39, F1 0.44
Precision 0.50, Recall 0.12, F1 0.20
Precision 0.85, Recall 0.74, F1 0.79
Precision 1.00, Recall 0.18, F1 0.31
Precision 0.53, Recall 0.42, F1 0.47
Precision 0.59, Recall 0.36, F1 0.45
Precision 1.00, Recall 0.50, F1 0.67
Precision 0.00, Recall 0.00, F1 0.00
Precision 0.50, Recall 0.33, F1 0.40
Precision 0.78, Recall 0.78, F1 0.78
Precision 0.00, Recall 0.00, F1 0.00
Precision 0.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.50, Recall 0.24, F1 0.32
Precision 0.65, Recall 0.59, F1 0.62
Precision 0.50, Recall 0.11, F1 0.18
Precision 0.75, Recall 0.20, F1 0.32
Precision 0.50, Recall 0.20, F1 0.28
Precision 0.50, Recall 0.28, F1 0.36
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.77, Recall 0.70, F1 0.73
Precision 0.43, Recall 0.35, F1 0.38
Precision 0.25, Recall 0.05, F1 0.08
Precision 0.37, Recall 0.21, F1 0.26
Precision 0.50, Recall 0.44, F1 0.47
Precision 0.76, Recall 0.69, F1 0.73
Precision 0.56, Recall 0.45, F1 0.50
Precision 0.29, Recall 0.13, F1 0.18
Precision 0.40, Recall 0.21, F1 0.28
Precision 0.29, Recall 0.12, F1 0.17
Precision 0.53, Recall 0.43, F1 0.47
Precision 0.58, Recall 0.48, F1 0.53
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.48, Recall 0.23, F1 0.31
Precision 0.66, Recall 0.59, F1 0.62
Precision 0.71, Recall 0.21, F1 0.33
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.64, Recall 0.63, F1 0.63
Precision 0.00, Recall 0.00, F1 0.00
Precision 0.64, Recall 0.54, F1 0.59
Precision 0.69, Recall 0.57, F1 0.62
Precision 0.57, Recall 0.32, F1 0.41
Precision 1.00, Recall 0.33, F1 0.50
Precision 0.80, Recall 0.67, F1 0.73
Precision 0.65, Recall 0.54, F1 0.59
Precision 0.62, Recall 0.47, F1 0.53
Precision 0.64, Recall 0.53, F1 0.58
Precision 0.80, Recall 0.80, F1 0.80
Precision 0.80, Recall 0.44, F1 0.57
Precision 0.33, Recall 0.17, F1 0.22
Precision 1.00, Recall 0.33, F1 0.50
Precision 0.67, Recall 0.67, F1 0.67
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.50, Recall 0.33, F1 0.40
Precision 0.50, Recall 0.17, F1 0.25
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.50, Recall 0.40, F1 0.44
Precision 0.82, Recall 0.90, F1 0.86
Precision 0.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.50, Recall 0.50, F1 0.50
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.67, F1 0.80
Precision 0.78, Recall 0.64, F1 0.70
Precision 1.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.71, F1 0.83
Precision 0.00, Recall 1.00, F1 0.00
Precision 0.67, Recall 0.67, F1 0.67
Precision 1.00, Recall 0.00, F1 0.00
Precision 1.00, Recall 0.20, F1 0.33
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.33, F1 0.50
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
